Days, Date, Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , -6.633333333333346
48 , 2020-02-18 , -4.6033333333333495
49 , 2020-02-19 , -1.7333333333333485
50 , 2020-02-20 , -0.8933333333333451
51 , 2020-02-21 , -0.8933333333333451
52 , 2020-02-22 , -4.253333333333349
53 , 2020-02-23 , -4.57333333333335
54 , 2020-02-24 , -2.6666666666666834
55 , 2020-02-25 , -3.329333333333352
56 , 2020-02-26 , -4.169333333333353
57 , 2020-02-27 , -2.0333333333333536
58 , 2020-02-28 , 4.514166666666647
59 , 2020-02-29 , 10.184166666666647
60 , 2020-03-01 , 12.966666666666645
61 , 2020-03-02 , 14.226666666666645
62 , 2020-03-03 , 11.046666666666644
63 , 2020-03-04 , 7.842666666666645
64 , 2020-03-05 , 7.646666666666644
65 , 2020-03-06 , 7.086666666666645
66 , 2020-03-07 , 6.386666666666645
67 , 2020-03-08 , 8.066666666666642
68 , 2020-03-09 , 6.806666666666647
69 , 2020-03-10 , 3.906666666666646
70 , 2020-03-11 , 2.1166666666666436
71 , 2020-03-12 , -4.160000000000019
72 , 2020-03-13 , -13.115333333333348
73 , 2020-03-14 , -25.793333333333344
74 , 2020-03-15 , -32.99333333333335
75 , 2020-03-16 , -31.623333333333346
76 , 2020-03-17 , -28.57333333333335
77 , 2020-03-18 , -33.65333333333335
78 , 2020-03-19 , -38.69333333333335
79 , 2020-03-20 , -42.94933333333334
80 , 2020-03-21 , -45.67000000000001
81 , 2020-03-22 , -44.95333333333334
82 , 2020-03-23 , -41.16666666666668
83 , 2020-03-24 , -37.85333333333335
84 , 2020-03-25 , -37.64333333333335
85 , 2020-03-26 , -37.853333333333346
86 , 2020-03-27 , -39.323333333333345
87 , 2020-03-28 , -41.753333333333345
88 , 2020-03-29 , -42.706666666666685
