Days, Date, Change
46 , 2020-02-16 , 0.5417674418604861
47 , 2020-02-17 , -0.47092093023253767
48 , 2020-02-18 , -1.829209302325562
49 , 2020-02-19 , -0.8999069767441661
50 , 2020-02-20 , -0.5834418604650958
51 , 2020-02-21 , -2.6088186046511423
52 , 2020-02-22 , -1.8649302325581192
53 , 2020-02-23 , 1.9739534883721144
54 , 2020-02-24 , 3.49812093023258
55 , 2020-02-25 , -0.1263255813953288
56 , 2020-02-26 , -0.3021395348837004
57 , 2020-02-27 , 0.8230697674418815
58 , 2020-02-28 , 0.7527441860465327
59 , 2020-02-29 , -0.9049302325581193
60 , 2020-03-01 , -1.8024186046511435
61 , 2020-03-02 , -0.24587906976742174
62 , 2020-03-03 , -0.3021395348837004
63 , 2020-03-04 , -0.5432558139534679
64 , 2020-03-05 , 0.7828837209302536
65 , 2020-03-06 , 1.5062325581395564
66 , 2020-03-07 , 0.2604651162790906
67 , 2020-03-08 , -1.6805209302325381
68 , 2020-03-09 , -1.532837209302306
69 , 2020-03-10 , 0.5886511627907183
70 , 2020-03-11 , 14.935069767441881
71 , 2020-03-12 , 28.13752558139537
72 , 2020-03-13 , 24.325879069767463
73 , 2020-03-14 , 2.4789175475687304
74 , 2020-03-15 , -22.525023255813938
75 , 2020-03-16 , -24.859832558139523
76 , 2020-03-17 , -18.024186046511616
77 , 2020-03-18 , -15.998809302325569
78 , 2020-03-19 , -15.267423255813938
79 , 2020-03-20 , -14.039069767441845
80 , 2020-03-21 , -15.239293023255797
81 , 2020-03-22 , -22.58655813953487
82 , 2020-03-23 , -24.279025991792054
83 , 2020-03-24 , -19.21332769556024
84 , 2020-03-25 , -15.304930232558123
85 , 2020-03-26 , -13.429581395348821
86 , 2020-03-27 , -11.741767441860452
87 , 2020-03-28 , -12.974809302325564
88 , 2020-03-29 , -19.74213953488371
