Days, Date, Change
46 , 2020-02-16 , -30.33435849984096
47 , 2020-02-17 , -17.510337449035656
48 , 2020-02-18 , -6.325128531359343
49 , 2020-02-19 , 13.76912355781742
50 , 2020-02-20 , 13.406262104298092
51 , 2020-02-21 , 8.966106468496076
52 , 2020-02-22 , 5.711631726570853
53 , 2020-02-23 , 4.903115634849483
54 , 2020-02-24 , 9.85431223433478
55 , 2020-02-25 , 15.675188387357943
56 , 2020-02-26 , 9.16335540583523
57 , 2020-02-27 , 6.151901223144314
58 , 2020-02-28 , 9.915854610646846
59 , 2020-02-29 , 10.90802764363993
60 , 2020-03-01 , 0.6771049359511826
61 , 2020-03-02 , -0.5631437411444984
62 , 2020-03-03 , 3.2461452158574926
63 , 2020-03-04 , 1.6921747679495567
64 , 2020-03-05 , 1.5674938553624531
65 , 2020-03-06 , 11.65385628777144
66 , 2020-03-07 , 23.24404518247272
67 , 2020-03-08 , 18.20713876760257
68 , 2020-03-09 , 9.953035422028158
69 , 2020-03-10 , 2.9698106005840907
70 , 2020-03-11 , 4.5796559002978245
71 , 2020-03-12 , -4.7610111326374325
72 , 2020-03-13 , -5.978808571902545
73 , 2020-03-14 , 21.530270171278744
74 , 2020-03-15 , 22.729820041248185
75 , 2020-03-16 , 8.638163259404894
76 , 2020-03-17 , -0.36081311627101215
77 , 2020-03-18 , 2.992861926380003
78 , 2020-03-19 , 17.2254344620189
79 , 2020-03-20 , 22.413089668334138
80 , 2020-03-21 , 34.850982274527944
81 , 2020-03-22 , 50.60113344402558
82 , 2020-03-23 , 32.94380846080443
83 , 2020-03-24 , 19.85170054651128
84 , 2020-03-25 , 19.972253650637583
85 , 2020-03-26 , 32.362777087008055
86 , 2020-03-27 , 41.60343290055807
87 , 2020-03-28 , 45.90906746089118
88 , 2020-03-29 , 46.42863834832143
